ec5	pdb	cathids	catalytic_cathids	unrelated?	number_unrelated_domains
5.1.99.1	3gm5	3.10.180.10	3.10.180.10	n	0
5.1.99.1	3rmu	3.10.180.10	3.10.180.10	n	0
5.1.99.4	2yim	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2gce	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2gd0	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	1x74	3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2gd2	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2gd6	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2g04	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.4	2gci	3.40.50.10540;3.30.1540.10	3.30.1540.10	n	0
5.1.99.6	1jzt	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	2o8n	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rsf	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rno	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rs8	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rs9	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rrj	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rre	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3ro7	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rta	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rrf	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rtg	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rte	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rrb	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rtc	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rtb	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3k5w	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3ru3	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	2ax3	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rss	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rt9	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rsq	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	2dg2	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rog	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3roe	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rt7	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3roz	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rsg	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3rox	3.40.50.10260	3.40.50.10260	n	0
5.1.99.6	3rtd	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.1.99.6	3ru2	3.40.50.10260;3.40.1190.20	3.40.50.10260	n	0
5.2.1.2	4px1	1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	1fw1	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	4kae	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	3niv	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	2cz3	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	2cz2	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	4kdy	3.40.30.10;1.20.1050.10	1.20.1050.10	n	0
5.2.1.2	4pxo	1.20.1050.10	1.20.1050.10	n	0
5.2.1.4	2jl4	3.40.30.10;1.20.1050.10	3.40.30.10;1.20.1050.10	y	2
5.2.1.4	2nsg	1.20.120.450	1.20.120.450	y	2
5.2.1.4	2nsf	1.20.120.450	1.20.120.450	y	2
5.2.1.4	2v6k	3.40.30.10;1.20.1050.10	3.40.30.10;1.20.1050.10	y	2
5.2.1.8	2m2a	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3ik8	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2hqj	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2zr6	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2zr4	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2zr5	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1d7j	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1d7h	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1d7i	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2m8j	2.20.70.10	2.20.70.10	y	14
5.2.1.8	2m8i	2.20.70.10	2.20.70.10	y	14
5.2.1.8	1fgl	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1xwn	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3ikd	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3ikg	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4ggq	3.10.20.90	3.10.20.90	y	14
5.2.1.8	3kce	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1ak4	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1l1p	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1clh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	4ca9	2.60.120.340	2.60.120.340	y	14
5.2.1.8	1pin	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3odk	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2kfw	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3oob	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1a7x	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1nsg	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2mf9	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2nul	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwa	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1awv	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwc	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1awt	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1aws	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1awr	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1awq	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwf	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwi	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwk	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwj	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwm	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwl	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwo	2.40.100.10	2.40.100.10	y	14
5.2.1.8	4law	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4lav	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2rud	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2ruc	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4lay	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4lax	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2xgy	1.10.375.10	1.10.375.10	y	14
5.2.1.8	1fjd	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4l6e	2.30.29.30	2.30.29.30	y	14
5.2.1.8	2cpl	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2kyx	3.30.70.330	3.30.70.330	y	14
5.2.1.8	1a33	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3b7x	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3fap	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1p9y	3.30.70.1050	3.30.70.1050	y	14
5.2.1.8	2jzv	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3jxv	3.10.50.40;3.10.50.40	3.10.50.40	y	14
5.2.1.8	2d9f	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2zqs	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1f8a	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3tcz	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1m63	3.60.21.10	3.60.21.10	y	14
5.2.1.8	2awg	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1qpf	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1nmk	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3cyh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1qpl	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1ihg	2.40.100.10;1.25.40.10	2.40.100.10	y	14
5.2.1.8	3cys	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1nmv	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1nmw	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3ui6	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3ui4	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2cyh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2kr7	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2d3o	3.30.70.330	3.30.70.330	y	14
5.2.1.8	1rmh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1b6c	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4g50	3.10.20.90	3.10.20.90	y	14
5.2.1.8	1xq7	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w26	3.30.70.1050;3.10.50.40	3.30.70.1050;3.10.50.40	y	14
5.2.1.8	3s6m	2.40.100.10	2.40.100.10	y	14
5.2.1.8	4dip	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1oms	3.30.70.1050	3.30.70.1050	y	14
5.2.1.8	3prd	3.10.50.40	3.10.50.40	y	14
5.2.1.8	5cyh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1ynd	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1d6o	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1pbk	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1mik	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1m9c	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1yw5	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1qnh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1qng	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w2b	1.10.1620.10	1.10.1620.10	y	14
5.2.1.8	2k8i	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3oe2	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1j4r	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1j4i	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1j4h	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2f4e	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1zmf	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1m5y	1.10.4030.10;3.10.50.40;3.10.50.40	3.10.50.40	y	14
5.2.1.8	2rmb	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2rma	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1tco	3.60.21.10	3.60.21.10	y	14
5.2.1.8	1bck	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w8v	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w8l	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w8m	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1e8k	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2biu	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2bit	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1f40	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1vbs	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1vbt	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1w74	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3mdf	3.30.70.330	3.30.70.330	y	14
5.2.1.8	3mdy	3.30.200.20;1.10.510.10	3.30.200.20;1.10.510.10	y	14
5.2.1.8	2q5a	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2cqb	3.30.70.330	3.30.70.330	y	14
5.2.1.8	1t11	3.30.70.1050;1.10.3120.10;3.10.50.40	3.30.70.1050;3.10.50.40	y	14
5.2.1.8	1c5f	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3tdb	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	4cyh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2rmc	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2m1i	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2itk	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1eq3	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3uf8	3.10.20.90	3.10.20.90	y	14
5.2.1.8	1fkk	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1qoi	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2rqs	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3kac	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3kab	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1xyh	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3kad	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3kag	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3kaf	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3kai	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3kah	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1bl4	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkb	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1iip	2.40.100.10;1.10.150.160	2.40.100.10	y	14
5.2.1.8	2haq	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1dyw	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1yat	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkf	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4giv	3.10.20.90	3.10.20.90	y	14
5.2.1.8	1q6u	1.10.287.460;3.10.50.40	3.10.50.40	y	14
5.2.1.8	1zkf	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1a58	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1zkc	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1q6h	1.10.287.460;3.10.50.40	3.10.50.40	y	14
5.2.1.8	1q6i	1.10.287.460;3.10.50.40	3.10.50.40	y	14
5.2.1.8	1q1c	3.10.50.40;3.10.50.40	3.10.50.40	y	14
5.2.1.8	3lpy	3.30.70.330	3.30.70.330	y	14
5.2.1.8	1zk6	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2if4	3.10.50.40;1.25.40.10	3.10.50.40	y	14
5.2.1.8	1bkf	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1c9h	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2dg4	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2dg3	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2dg9	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2a2n	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3t1u	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1h0p	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1vai	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1fkd	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3jyj	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1cyn	2.40.100.10	2.40.100.10	y	14
5.2.1.8	4fap	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1m9e	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1m9d	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1m9f	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2zqv	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1j2a	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2zqt	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	3wh0	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1m9y	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1m9x	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3ui5	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1n1a	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2lj4	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1lop	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1fap	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4c02	3.30.200.20;1.10.510.10	3.30.200.20;1.10.510.10	y	14
5.2.1.8	2esl	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2ose	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2fke	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1rot	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1rou	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2zqu	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2kgj	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1oca	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1ist	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1hxv	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2mly	3.30.70.1050;3.10.50.40	3.30.70.1050;3.10.50.40	y	14
5.2.1.8	2mlx	3.30.70.1050;3.10.50.40	3.30.70.1050;3.10.50.40	y	14
5.2.1.8	4fn2	3.10.20.90	3.10.20.90	y	14
5.2.1.8	3tc5	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1jvw	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1awu	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1cwb	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3vaw	3.10.20.90	3.10.20.90	y	14
5.2.1.8	2alf	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3ey6	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1y0o	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3ntp	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp8	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2f21	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp3	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp6	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp7	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp4	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xp5	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1kt0	3.10.50.40;3.10.50.40;1.25.40.10	3.10.50.40	y	14
5.2.1.8	1kt1	3.10.50.40;3.10.50.40;1.25.40.10	3.10.50.40	y	14
5.2.1.8	1j6y	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3rfy	1.20.120.290	1.20.120.290	y	14
5.2.1.8	1eym	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2f2d	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2xpb	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	2xpa	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1fd9	3.10.50.40;1.10.287.460	3.10.50.40	y	14
5.2.1.8	3o5d	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1e3b	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1p5q	3.10.50.40;1.25.40.10	3.10.50.40	y	14
5.2.1.8	1mf8	3.60.21.10	3.60.21.10	y	14
5.2.1.8	1v9t	2.40.100.10	2.40.100.10	y	14
5.2.1.8	2r99	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1vdn	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1qz2	3.10.50.40;1.25.40.10	3.10.50.40	y	14
5.2.1.8	1fkr	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fks	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkt	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkh	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fki	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkj	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2xp9	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	1fkl	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2pv1	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2pv2	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2pv3	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1z81	2.40.100.10	2.40.100.10	y	14
5.2.1.8	3prb	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1fkg	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3i6c	3.10.50.40	3.10.50.40	y	14
5.2.1.8	2fap	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3gpk	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1u79	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1mzw	2.40.100.10	2.40.100.10	y	14
5.2.1.8	1jns	3.10.50.40	3.10.50.40	y	14
5.2.1.8	1jnt	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3rfw	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3h9r	3.30.200.20;1.10.510.10	3.30.200.20;1.10.510.10	y	14
5.2.1.8	1zcn	2.20.70.10;3.10.50.40	2.20.70.10;3.10.50.40	y	14
5.2.1.8	4dt4	3.10.50.40	3.10.50.40	y	14
5.2.1.8	4tyo	3.10.50.40	3.10.50.40	y	14
5.2.1.8	3uqb	3.10.20.90	3.10.20.90	y	14
5.2.1.8	3uqa	3.10.20.90	3.10.20.90	y	14
5.3.1.1	1sux	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3gvg	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4mva	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1m7o	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2y6z	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4nvt	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2btm	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3q37	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1m7p	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2v5l	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2v5b	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2y70	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3pvf	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1ci1	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4iot	3.20.20.70	3.20.20.70	y	4
5.3.1.1	“4e41”	3.10.320.10;2.60.40.10	3.10.320.10;2.60.40.10	y	4
5.3.1.1	4owg	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2jk2	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1klg	3.10.320.10;2.60.40.10	3.10.320.10;2.60.40.10	y	4
5.3.1.1	1yya	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4gnj	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2h6r	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4o52	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1vpe	3.40.50.1260;3.40.50.1260	3.40.50.1260;3.40.50.1260	y	4
5.3.1.1	1vga	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3kxq	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2y61	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2dp3	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2y63	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1ypi	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1m6j	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1ney	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2vxn	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1su5	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4tim	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3tim	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1b9b	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4o53	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1amk	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3pf3	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2j27	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2j24	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1tmh	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3uwz	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1mss	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1ttj	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1tti	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1lyx	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3uwu	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1w0m	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1r2t	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1r2s	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1r2r	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1tim	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2x2g	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2jgq	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2i9e	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4p61	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3tao	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1tpd	3.20.20.70	3.20.20.70	y	4
5.3.1.1	4jeq	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3psv	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2x1r	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1woa	3.20.20.70	3.20.20.70	y	4
5.3.1.1	1wob	3.20.20.70	3.20.20.70	y	4
5.3.1.1	2oma	3.20.20.70	3.20.20.70	y	4
5.3.1.1	3s6d	3.20.20.70	3.20.20.70	y	4
